zpid,streetAddress,latestPrice
2142047553,4517 Felicity Ln,79900
121720751,10620 Cannon Mark Way,925000
29351860,6800 W Courtyard Dr,810000
145551602,5000 Bonneville Bnd,349000
121655881,11205 Zimmerman Ln,425000
70352247,7608 Lazy River Cv,999000
303838934,12912 Orihuela Dr,480000
83123738,6304 N Fm 973,225000
58298859,6309 Lakewood Holw,489000
111371244,9401 China Rose Dr,239900
83828738,13401 Country Trails Ln,875000
58300380,10616 Chestnut Ridge Rd,589900
29336834,10058 Circleview Dr,900000
145657101,4904 Bonneville Bnd,365000
89661246,11216 Mckinney Springs Dr,289900
251032231,5812 Montrelia Dr,239500
202153434,129 Sandpiper Cv,455000
29375880,9011 Mountain Lake Cir,675000
