streetAddress,yearBuilt,homeAge_years,livingAreaSqFt,numOfBedrooms,numOfBathrooms
14408 Homestead Village Cir,2007,14,2471,3,2.0
6037 Seville Dr,2016,5,2526,3,4.0
5316 Ingersoll Ln,2015,6,1772,3,3.0
6609 Robbie Creek Cv,1984,37,2294,3,3.0
9119 Spinning Leaf Cv,2005,16,3533,4,4.0
11521 Mcdows Hole Ln,2006,15,1837,3,2.0
3112 Etheredge Dr,2010,11,1378,3,2.0
10510 Weller Dr,1983,38,3149,5,4.0
400 Emerald Ridge Dr,2011,10,3818,4,4.0
160 Daisy Path,2006,15,3854,4,4.0
5313 Park At Woodlands Dr,2007,14,2573,4,3.0
7104 Sentry Path,2018,3,2457,4,3.0
8012 Jester Blvd,1993,28,2844,3,3.0
13717 Wiregrass Way,2015,6,3051,4,4.0
1221 Red Oak Valley Ct,2006,15,2538,3,3.0
3207 Peavy Dr,2000,21,1467,3,3.0
6637 Dogwood Creek Dr,1997,24,3092,4,4.0
12304 Edenvale Path,2009,12,2958,5,3.0
5532 Toscana Ave,2006,15,1339,3,2.0
4203 Boatwright Cv,1986,35,1539,4,2.0
13525 Madrone Mountain Way,2005,16,3062,4,4.0
9421 Spring Hollow Dr,1977,44,2611,5,3.0
2309 Swirling Wind Cv,2010,11,4129,5,5.0
3705 Dogwood Creek Cv,1996,25,3385,4,4.0
9205 Prince William,1996,25,3277,4,5.0
1212 Weatherford Dr,1988,33,2257,3,3.0
9120 China Rose Dr,2014,7,1710,4,2.0
16499 Westview Trl,1994,27,2234,3,2.0
4201 Boatwright Cv,1986,35,1854,3,3.0
5508 Gooding Dr,2016,5,1789,3,3.0
14407 Sandifer St,2002,19,1890,3,2.0
13917 Turkey Hollow Trl,2012,9,2654,4,3.0
9101 Caira Cv,1985,36,1952,4,2.0
11425 Shoreview Cv,2012,9,4318,4,4.0
430 Santaluz Path,2010,11,4455,5,5.0
9504 China Rose Dr,2014,7,1710,3,2.0
10801 Moore Rd,2012,9,1680,3,2.0
4716 Castleman Dr,1986,35,1493,3,2.0
1545 Cool Spring Way,2017,4,3468,4,3.0
10202 Echoridge Dr,1996,25,3323,4,4.0
14216 Rountree Ranch Ln,2007,14,2236,4,3.0
2800 Waymaker Way UNIT 18,1999,22,2913,4,2.0
8900 Westminster Glen Ave,2000,21,4688,4,4.0
8821 Southwick Dr,2012,9,1203,3,2.0
1208 Red Oak Valley Ct,2007,14,1862,3,2.0
10706 Leafwood Ln,1989,32,3200,4,3.0
6636 Dogwood Creek Dr,1997,24,4385,5,5.0
1847 Cool Spring Way,2020,1,3151,4,3.0
14516 James Vincent Dr,2001,20,1467,3,3.0
14309 Rountree Ranch Ln,2006,15,1694,3,2.0
8901 Westminster Glen Ave,2000,21,3870,4,5.0
5116 Bantom Woods Bnd,2008,13,1704,3,2.0
4700 Sojourner St,1987,34,1815,4,3.0
10011 Lake Ridge Dr,1962,59,2081,4,2.0
9409 Cedar Crest Dr,1977,44,3451,4,3.0
13425 Madrone Mountain Way,2006,15,3128,3,3.0
6809 Creedmoor Dr,2019,2,2350,3,3.0
3117 Peavy Dr,2000,21,2035,3,3.0
6200 Parliament Dr,1972,49,1199,3,2.0
6905 Dogwood Holw,1980,41,1927,3,3.0
