zpid,yearBuilt,homeAge_years,livingAreaSqFt,numOfBedrooms,numOfBathrooms
145655653,2015,6,2075,4,3.0
29376401,1998,23,3756,4,4.0
83830871,2006,15,4313,5,4.0
145656091,2015,6,1652,3,2.0
89548288,2008,13,2705,4,4.0
29351394,1995,26,2893,4,3.0
29470429,2001,20,1162,3,2.0
29385797,1998,23,1628,3,2.0
111961964,2010,11,2973,4,3.0
241933147,2016,5,3105,5,3.0
120896481,2012,9,3563,4,4.0
29342304,1978,43,3019,3,4.0
29358887,1983,38,2922,3,3.0
70352288,2009,12,5934,5,7.0
241934796,2017,4,2801,4,3.0
83819425,2007,14,2322,4,3.0
88027789,2004,17,3468,5,4.0
243293463,2016,5,3405,4,4.0
70345662,2009,12,1272,3,2.0
241930792,2016,5,1158,3,2.0
29372400,1985,36,2774,3,2.0
70333788,2005,16,2883,4,3.0
29351383,1994,27,3560,5,3.0
80087925,2008,13,1856,3,3.0
89550796,2014,7,1704,3,2.0
111968786,2012,9,1937,3,3.0
241933142,2017,4,2365,4,3.0
70323862,2005,16,4684,5,6.0
124837787,2015,6,3933,4,4.0
29370399,1983,38,1831,3,2.0
70352281,2013,8,4783,5,5.0
70341923,2009,12,2691,4,3.0
64634789,2003,18,1274,3,2.0
89651286,2008,13,1844,3,2.0
122187957,2013,8,3021,3,3.0
29462476,1998,23,1499,3,2.0
60136362,1973,48,952,1,1.0
2094867139,2016,5,2515,4,3.0
29336282,1991,30,2640,4,3.0
29370396,1984,37,2000,4,2.0
83822780,2008,13,2835,4,4.0
29470419,1998,23,1466,3,3.0
121656881,2013,8,1790,2,3.0
64842284,2004,17,1450,3,3.0
2086373955,2019,2,3400,4,4.0
70345631,2005,16,1436,3,2.0
251034137,2019,2,2736,4,3.0
29368396,1993,28,4079,5,5.0
145657415,2016,5,2873,5,3.0
70352278,2009,12,5804,4,6.0
114157955,2011,10,2835,4,4.0
29351381,1994,27,3549,5,5.0
64578358,2003,18,3186,4,4.0
125808623,2014,7,1508,3,2.0
251029914,2017,4,1591,3,2.0
125887777,2018,3,2758,4,4.0
119629454,2017,4,3150,5,3.0
70330356,2012,9,109292,5,0.0
29351880,1999,22,4087,4,4.0
125934135,2015,6,1617,3,2.0
70992278,2006,15,1995,3,3.0
29342271,1997,24,5008,5,5.0
70345913,2006,15,1586,4,2.0
29374395,1976,45,2796,4,2.0
29395269,1969,52,1378,3,2.0
69811276,2006,15,3540,4,4.0
2098913275,2015,6,1100,3,2.0
29353878,2018,3,3602,4,4.0
250405453,2018,3,3690,6,6.0
70352355,2008,13,4405,5,4.0
125090634,2015,6,1489,3,2.0
29344769,1986,35,1964,3,3.0
83830909,2011,10,1220,3,2.0
70352275,2013,8,4000,5,4.0
83829268,2012,9,2088,4,3.0
29351378,1992,29,3972,4,5.0
94882853,2011,10,1859,3,2.0
250399952,2018,3,3800,4,4.0
70345600,2009,12,2026,5,3.0
70992273,2006,15,2801,4,4.0
70352265,2014,7,4069,5,4.0
29377392,1981,40,2776,4,3.0
70345908,2006,15,1473,4,2.0
83820767,2009,12,1532,3,2.0
29361760,2001,20,4162,4,3.0
29338353,1993,28,3114,5,3.0
114156945,2011,10,3239,4,4.0
251030597,2018,3,2381,4,3.0
70352264,2009,12,4246,5,4.0
29370392,1984,37,2380,4,2.0
70341902,2006,15,3031,4,3.0
125739266,2020,1,1815,3,2.0
29351873,1989,32,4926,4,6.0
64658848,2003,18,3251,3,4.0
185217270,2010,11,1859,3,2.0
29462580,1999,22,1662,3,2.0
